timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712861012877,965,HTTP Request,200,OK,Thread Group 1-16,text,true,,716421,271,980,980,https://bt.rozetka.com.ua/ua/11117173/p11117173/,98,0,55
1712861012877,98,HTTP Request-0,302,Found,Thread Group 1-16,text,true,,982,134,980,980,https://bt.rozetka.com.ua/11117173/p11117173/,98,0,55
1712861012975,867,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,715439,137,980,980,https://bt.rozetka.com.ua/ua/11117173/p11117173/,435,0,0
1712861012924,1780,HTTP Request,200,OK,Thread Group 1-63,text,true,,716421,271,1844,1844,https://bt.rozetka.com.ua/ua/11117173/p11117173/,104,0,60
1712861012924,104,HTTP Request-0,302,Found,Thread Group 1-63,text,true,,982,134,1844,1844,https://bt.rozetka.com.ua/11117173/p11117173/,104,0,60
1712861013028,1676,HTTP Request-1,200,OK,Thread Group 1-63,text,true,,715439,137,1844,1844,https://bt.rozetka.com.ua/ua/11117173/p11117173/,435,0,0
1712861012982,2563,HTTP Request,200,OK,Thread Group 1-122,text,true,,716413,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,168,0,67
1712861012982,168,HTTP Request-0,302,Found,Thread Group 1-122,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,168,0,67
1712861013150,2395,HTTP Request-1,200,OK,Thread Group 1-122,text,true,,715431,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,397,0,0
1712861013106,2502,HTTP Request,200,OK,Thread Group 1-244,text,true,,716414,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,394,0,219
1712861013106,394,HTTP Request-0,302,Found,Thread Group 1-244,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,394,0,219
1712861013500,2108,HTTP Request-1,200,OK,Thread Group 1-244,text,true,,715432,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1019,0,0
1712861013310,2387,HTTP Request,200,OK,Thread Group 1-449,text,true,,716418,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,331,0,181
1712861013310,331,HTTP Request-0,302,Found,Thread Group 1-449,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,331,0,181
1712861013641,2056,HTTP Request-1,200,OK,Thread Group 1-449,text,true,,715436,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,840,0,0
1712861013116,2583,HTTP Request,200,OK,Thread Group 1-254,text,true,,716415,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,284,0,103
1712861013116,284,HTTP Request-0,302,Found,Thread Group 1-254,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,284,0,103
1712861013400,2299,HTTP Request-1,200,OK,Thread Group 1-254,text,true,,715433,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,522,0,0
1712861012928,2819,HTTP Request,200,OK,Thread Group 1-67,text,true,,716422,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,206,0,62
1712861012928,206,HTTP Request-0,302,Found,Thread Group 1-67,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,206,0,62
1712861013135,2612,HTTP Request-1,200,OK,Thread Group 1-67,text,true,,715440,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,520,0,0
1712861013322,2621,HTTP Request,200,OK,Thread Group 1-462,text,true,,716405,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1332,0,174
1712861013322,1507,HTTP Request-0,302,Found,Thread Group 1-462,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,1332,0,174
1712861014829,1114,HTTP Request-1,200,OK,Thread Group 1-462,text,true,,715423,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,431,0,0
1712861013013,3000,HTTP Request,200,OK,Thread Group 1-152,text,true,,716415,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,396,0,158
1712861013013,396,HTTP Request-0,302,Found,Thread Group 1-152,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,396,0,158
1712861013409,2604,HTTP Request-1,200,OK,Thread Group 1-152,text,true,,715433,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,625,0,0
1712861012936,3224,HTTP Request,200,OK,Thread Group 1-73,text,true,,716425,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,134,0,63
1712861012936,134,HTTP Request-0,302,Found,Thread Group 1-73,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,134,0,63
1712861013070,3090,HTTP Request-1,200,OK,Thread Group 1-73,text,true,,715443,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,461,0,0
1712861013104,3287,HTTP Request,200,OK,Thread Group 1-242,text,true,,716416,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,358,0,182
1712861013104,358,HTTP Request-0,302,Found,Thread Group 1-242,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,358,0,182
1712861013462,2929,HTTP Request-1,200,OK,Thread Group 1-242,text,true,,715434,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1400,0,0
